higgs-1,	13.57	0.284322,
susy-1,	8.73	0.252163,
letter-1,	1.02	0.036172,
grid-1,	1.82	0.085465,
higgs-1k,	13.72	15.139165,
susy-1k,	8.96	13.818277,
letter-1k,	0.93	1.186780,
grid-1k,	2.38	4.027303,
higgs-2k,	13.90	29.654379,
susy-2k,	8.91	26.049970,
letter-2k,	1.04	2.364283,
grid-2k,	1.87	7.819554,
higgs-4k,	13.50	58.591341,
susy-4k,	9.12	54.060369,
letter-4k,	0.96	4.531577,
grid-4k,	2.47	15.781625,
