covtype,	19.887752 3.907818
higgs,	32.853514 6.102238
mnist,	17.611823 3.308852
susy,	32.018928 6.011482
letter,	6.506645 1.460701
pen,	0.906149 0.245991
hepmass,	32.797328 6.107867
gas,	4.211910 1.058081
grid,	6.904294 1.891129
random,	5.268440 1.222527
dino,	7.519725 1.685695
sunflower,	5.332578 1.500428
unit,	2.302004 0.609167
