covtype-hss,	16.0899 10.0121 6.57955 5.50136 4.36672 3.83328 3.48594 3.03465 2.71274 2.65441 2.32767 2.16599
unit-hss,	1.37621 0.691966 0.468151 0.359351 0.293196 0.260641 0.234618 0.202529 0.190082 0.176682 0.170622 0.153187
covtype-h2b,	86.7617 58.8692 37.2735 33.4271 25.6533 22.665 19.6244 17.3751 15.782 14.1122 13.427 12.5263
unit-h2b,	2.05085 1.02862 0.707503 0.537628 0.442191 0.377336 0.348785 0.286148 0.284844 0.255892 0.23015 0.22638
covtype-h2,	0.0857389 0.0685689 0.047348 0.0428829 0.0352042 0.0336828 0.031662 0.027992 0.031461 0.028455 0.0296769 0.0290921
unit-h2,	0.00607705 0.00354099 0.00213218 0.00239897 0.0015099 0.00149202 0.00251198 0.001894 0.0022409 0.00167298 0.00209594 0.00179601
